A8MUM7	Q9NY25	Q9UPC5	Q9H3S1	Q9NRD8	O60613	P15151	P02746	Q16363	Q9HBB8	A0A0G2JS06	Q99944	P17936	P08174	Q96A25	P34741	P05156	P04216	P21741	P08195	O43493	P08637	P02655	A4QPB2	A0A0C4DH55	P02652	P22079	P10619	Q5VY80	O75015	Q9Y5Q5	P16112	Q8NHL6	Q15165	P07478	Q13361	Q15195	O60462	Q6Q8B3	Q6H3X3	Q14031	Q02325	A6NKQ9	Q9NWF4	Q8IYS5	Q99102	Q2VPA4	P30511	Q07001	P15692	P40198	P48664	P28067	label
24.9322	26.4993	26.26651	24.06953	26.9164	29.90846	29.74246	31.62732	35.85299	25.30388	24.78851	26.13124	33.06329	32.86091	25.29979	28.77516	33.4834	34.40592	26.68388	33.77804	24.48809	31.88089	25.63757	25.00199	29.70982	27.93227	32.38021	30.94969	26.78628	26.64529	25.71854	29.35474	29.20306	30.39656	29.9844	31.88465	34.35686	31.37867	26.48261	26.78628	27.0248	34.35686	27.25264	26.76953	27.95038	28.41125	26.95916	28.08267	28.82239	27.24489	30.03946	25.35176	30.99673	Breast
27.90754	29.38212	25.44308	25.77519	29.20809	29.4986	29.45057	31.72279	35.04958	27.37148	24.22577	24.16459	33.04375	32.72694	24.26859	29.43484	33.54854	33.92009	27.06082	32.83942	23.38886	30.81435	28.24213	24.97875	29.36437	29.78904	35.85147	30.30774	25.42974	29.89837	25.12169	28.28923	26.78785	30.05912	27.46397	33.33405	36.12444	31.71575	28.89979	25.42974	23.7148	36.12444	26.27916	25.96264	28.39733	28.75527	31.34658	28.21721	27.16631	28.14871	34.13761	24.12234	29.53207	Breast
27.96182	28.26171	23.82896	26.03284	32.09801	27.52632	28.67064	32.22338	34.78591	27.86676	22.87873	24.49137	32.75627	32.92016	22.65838	28.01553	33.95166	33.87223	26.39726	31.75171	25.31915	30.6698	26.50246	23.57056	29.02211	30.68188	34.99231	29.83601	26.60377	27.73083	24.87059	27.67303	27.10804	30.60358	30.28995	33.10989	35.30905	30.89366	25.66675	26.60377	28.26658	35.30905	25.24997	24.51749	27.41392	30.86452	28.44055	27.61552	28.8023	28.86069	34.22171	25.17936	28.34374	Breast
23.95061	28.10581	29.29926	26.91334	27.41828	29.6608	29.27015	31.36712	35.77902	24.97099	26.0918	24.23125	30.29951	31.55002	25.54681	31.11679	33.77202	34.39503	25.71216	33.05272	28.7768	31.95598	25.60335	24.02341	27.88857	27.77587	35.33737	30.88744	24.86243	29.30461	24.99448	27.76079	29.93111	30.30117	33.32581	32.96017	34.80193	29.96001	26.34593	24.86243	30.16264	34.80193	24.71686	26.86656	27.46458	22.78423	28.78588	28.76005	29.4001	27.36394	22.6206	27.50887	31.36244	Breast
23.44546	26.33039	31.62753	23.07778	29.30069	29.51717	28.68508	30.11039	35.4805	27.97191	24.5239	21.35423	33.87132	32.89943	24.84525	29.83898	33.62978	34.09034	28.34901	32.34026	24.79303	31.63097	27.38683	27.24329	28.70987	27.79939	29.89102	30.59203	25.84438	25.49423	27.47312	29.70494	26.90211	30.65382	27.34303	34.55614	33.99149	31.2709	26.18585	25.84438	30.78545	33.99149	24.77483	26.45464	28.03279	30.48339	24.61752	28.21247	27.51328	27.74252	31.97276	25.92141	30.82803	Breast
23.97794	24.23433	27.01836	26.82335	27.97059	28.79602	29.20242	30.54158	35.96164	26.34028	23.19001	24.1125	30.36131	31.7798	25.3567	28.36829	34.17952	33.76548	27.1258	32.24751	29.693	31.16177	29.63153	26.07194	28.80381	29.48099	33.68311	29.91185	21.95656	26.70448	22.20177	30.08172	28.72163	32.16177	27.84122	33.36289	35.12264	28.93216	27.02978	24.11645	29.24349	35.12264	24.65877	27.06591	25.50915	21.54053	32.11288	28.77551	30.19055	26.45792	20.3516	27.1736	29.63028	Breast
27.05788	27.43234	26.43294	25.65718	23.85048	29.52616	30.34479	32.3459	35.59829	30.99848	24.89248	25.03062	30.97679	32.2276	24.34215	28.0107	34.4023	34.47967	28.46734	33.07991	24.15574	31.58109	27.56802	24.08279	28.22376	30.01242	36.12259	29.68099	25.38823	29.53972	22.25292	29.93686	28.81748	30.25729	24.39099	34.42757	36.15625	29.08201	26.84907	25.38823	28.36224	36.15625	23.23595	25.60201	27.74139	23.75273	28.46157	28.23426	26.97228	28.41181	27.01676	22.68106	30.25558	Breast
29.10853	25.96547	25.73427	27.40838	25.52685	29.81153	28.43693	31.1085	35.34626	22.49821	26.56736	24.29463	31.06736	31.5543	24.34597	29.29936	34.20976	34.2802	23.33686	32.79004	25.16379	31.11345	29.77502	28.87803	28.40186	28.47127	33.44196	30.60213	23.7536	27.42862	23.21207	30.23124	28.84596	30.36251	32.41562	33.61976	35.12095	29.41706	27.721	24.48402	28.54527	35.12095	24.44246	25.74762	27.21671	24.77746	31.85759	29.24822	28.86798	25.72462	27.53349	27.05752	30.53579	Breast
28.16056	28.81135	24.4693	22.3852	26.05387	29.55142	29.64213	32.04629	35.78094	27.23936	25.76238	25.66906	32.83126	32.95659	24.63502	29.73363	33.93966	34.02252	26.90645	32.79192	22.571	31.7689	26.51368	26.67238	28.41587	28.92287	32.56272	31.40125	26.26465	26.20175	27.38566	29.12662	28.3839	31.50528	28.75796	33.44275	34.36565	31.66675	25.98789	26.26465	30.64518	34.36565	25.39439	25.8277	28.68788	26.41436	29.3259	28.44707	28.0777	26.61615	33.00625	22.56388	30.54861	Breast
28.6393	28.11925	23.05958	26.45785	33.61319	26.73227	29.90586	31.65598	33.60126	26.82273	23.59813	24.2061	32.99641	32.95433	22.96241	27.5533	34.04449	32.91993	25.74464	31.8997	26.58803	31.22875	27.37791	26.63065	28.29281	29.91981	34.65215	30.32657	27.78604	28.0299	23.15947	28.85712	25.51583	29.39587	29.66256	33.868	35.91034	30.02994	26.83552	27.78604	23.57032	35.91034	24.60527	25.50515	30.7783	31.69428	28.99963	26.2722	23.92336	29.58333	35.29417	25.88064	26.96938	Breast
22.44556	26.3069	26.62247	23.34127	23.04563	29.52137	29.44376	30.79496	35.38856	27.41702	25.45293	25.97404	33.24	32.37904	21.28876	31.20548	33.96125	34.05494	28.04444	32.46893	23.36823	30.76868	28.3349	28.14931	28.92522	28.04614	30.38438	29.4908	23.31684	24.75738	27.24409	29.31789	27.62755	30.53285	28.02516	34.85017	34.64484	30.25261	26.16481	23.38766	28.65269	34.64484	23.40497	25.62557	27.88269	27.07547	26.17305	27.96979	27.86769	27.11398	34.35284	25.51312	30.58325	Breast
30.30873	28.05839	28.57149	27.28667	29.06341	29.01884	29.20332	30.90666	35.85593	24.41735	23.18394	25.67252	30.41788	31.93007	26.12923	30.70855	34.05096	34.40092	23.91953	33.23832	25.83388	32.95617	25.79093	25.40268	27.98351	26.51045	34.96721	31.48222	24.21991	28.6457	25.06198	28.4642	30.96946	30.33427	32.401	33.61464	34.78135	29.98938	28.5703	21.99056	27.67643	34.78135	23.64415	25.72389	27.89166	22.93011	29.82421	29.66739	27.98462	26.89544	30.0932	28.27669	31.12119	Breast
23.90749	27.37981	24.61461	24.32536	24.86775	27.04782	28.42407	31.36768	34.52319	23.77117	24.18579	22.53681	31.94711	32.89615	25.08368	28.15614	32.9943	34.98389	28.5612	31.88361	26.86478	30.93151	26.70497	23.41986	28.57221	30.48361	32.32151	30.16996	25.16493	27.49901	27.92801	28.34219	26.8685	29.67177	25.58477	34.13963	34.91571	30.13454	22.76839	22.90737	29.35731	34.91571	23.42611	26.67313	27.00826	24.96143	22.30128	27.66916	29.85197	27.06199	32.10593	26.17549	28.28219	Breast
